Doctor Name,City,Specialization,Doctor Qualification,Experience(Years),Total_Reviews,Patient Satisfaction Rate(%age),Avg Time to Patients(mins),Wait Time(mins),Hospital Address,Doctors Link,Fee(PKR)
Asst. Prof. Dr. Muhammad Waseem,SAHIWAL,Pulmonologist / Lung Specialist,"MBBS, FCPS (Pulmonology)",10,202,99,14,12,"Waseem Chest Clinic, fateh sher Road, Sahiwal",https://www.marham.pk/doctors/sahiwal/pulmonologist/asst-prof-dr-muhammad-waseem#reviews-scroll,1000
Dr. Faiza Hayat,PESHAWAR,Urologist,"MBBS, FCPS (Urology)",22,9,75,11,26,"Abaseen Hospital, Mohalla Quwat-ul-Islam, Peshawar",https://www.marham.pk/doctors/peshawar/urologist/dr-faiza-hayat#reviews-scroll,2000
Assoc. Prof. Dr. Mudassar Nazar,BAHAWALNAGAR,Orthopedic Surgeon,,12,10,100,14,9,"Life Care Medical Complex, wuqla colony, Bahawalnagar",https://www.marham.pk/doctors/bahawalpur/orthopedic-surgeon/assoc-prof-dr-mudassar-nazar#reviews-scroll,1200
Dr. Sadia Mughese,BAHAWALPUR,"Dermatologist, Nutritionist","MBBS, Certified Dermatologist, FACP",15,195,99,20,8,"Amin Clinic, Model Town, Bahawalpur",https://www.marham.pk/doctors/bahawalpur/dermatologist/dr-sadia-mughese#reviews-scroll,1000
Dr. Niaz Hussain,HYDERABAD,Orthopedic Surgeon,"MBBS, FCPS (Orthopedic Surgery) , MCPS (Surgery)",18,2,100,14,11,"Jeejal Maa Hospital, Qasimabad, Hyderabad",https://www.marham.pk/doctors/hyderabad/orthopedic-surgeon/dr-niaz-hussain#reviews-scroll,1000
Dr. Shahzad Rashid Awan,PESHAWAR,Dermatologist,"MBBS, MCPS (Dermatology)*",12,14,93,13,10,"Rahim Medical Center And Hospital, Hasht Nagri, Peshawar",https://www.marham.pk/doctors/peshawar/dermatologist/dr-shahzad-rashid-awan#reviews-scroll,1000
Dr. Abdul Malik,QUETTA,Nephrologist,"MBBS, FCPS(neurology) FCPS(medicine)",,0,94,14,11,"Time Pharma Saleem Medical Complex, Quetta City, Quetta",No Link Available,700
Dr. Niaz Muhammad,QUETTA,Gastroenterologist,"MBBS, MCPS (Medicine), FCPS (Gastroenterology)",14,127,98,12,12,"Saleem Medical Complex Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-niaz-muhammad#reviews-scroll,1000
Dr. Akhtar Ali Shah,SWABI,General Physician,MBBS,40,0,94,14,11,"Jamal Medical Center, Gharibabad Maniri, Swabi",No Link Available,500
Dr. Anwisha Samreen,DERA-GHAZI-KHAN,General Physician,MBBS,1,0,94,14,11,,No Link Available,400
Dr. Uzma Wahid,NOWSHERA,Gynecologist,"MBBS, FCPS (Obstetrics &amp; Gynaecology)",2,2,100,15,13,"Zaman Medical Center, KPK, Nowshera",https://www.marham.pk/doctors/nowshera/gynecologist/dr-uzma-wahid#reviews-scroll,800
Dr. Fazal Mannan,SWABI,Gastroenterologist,"MBBS,FCPS",20,0,94,14,11,"Jamal Medical Center, Gharibabad Maniri, Swabi",No Link Available,500
Assoc. Prof. Dr. Yasir Khan,MANSEHRA,Orthopedic Surgeon,"MBBS, FCPS (Orthopedic Surgery), MSc (Pain Medicine)",15,5,83,14,11,No Address Available,https://www.marham.pk/online-consultation/orthopedic-surgeon/mansehra/assoc-prof-dr-yasir-khan-19573#reviews-scroll,1000
Dr. Zeeshan Ahmad,BANNU,Pediatrician, MBBS ,3,6,100,8,3,"Khyber Teaching Hospital, University Town, Peshawar",https://www.marham.pk/doctors/peshawar/pediatrician/dr-zeeshan-ahmad#reviews-scroll,300
Dr. Khawaja Muhammad Ali,LAHORE,Neurologist,"MBBS, FCPS (Neurology)",10,38,98,16,14,"Bajwa Hospital, Shahdara, Lahore",https://www.marham.pk/doctors/lahore/neuro-physician/dr-khawaja-muhammad-ali#reviews-scroll,1000
Dr. Muhammad Usman Javaid,SARGODHA,Nephrologist,"MBBS, MD",10,110,97,14,10,"Central Hospital Sargodha, Stadium Road, Sargodha",https://www.marham.pk/doctors/sargodha/nephrologist/dr-muhammad-usman-javaid#reviews-scroll,1200
Dr. Huzaifa Akhlaq,CHINIOT,Eye Surgeon,"MBBS, FCPS (Ophthalmology)",8,45,98,13,8,"Al Noor Laser Clinic, Muhallah garrah, Chiniot",https://www.marham.pk/doctors/chiniot/eye-surgeon/dr-huzaifa-akhlaq#reviews-scroll,700
Dr. Muhammad Shoaib Mithani,KARACHI,"Urologist, Sexologist, Andrologist","MBBS, FCPS, Fellow (European Board Urology)",20,1083,98,14,11,"The Kidney Centre, Cantt, Karachi",https://www.marham.pk/doctors/karachi/urologist/dr-muhammad-shoaib-mithani#reviews-scroll,1400
Dr. Shohab Hyder Shaikh,KARACHI,Orthopedic Surgeon,"MBBS , MRCS , FRCS (Trauma &amp; Orthopedic Surgery) , Fellow EBOT (European Board of Orthopedic &amp; Traumatology)",15,112,95,15,27,"Najeeb Medical Complex, Sakrand road, Nawabshah",https://www.marham.pk/doctors/karachi/orthopedic-surgeon/dr-shohab-hyder-shaikh#reviews-scroll,5000
Dr. Muhammad Akram Kumbhar,ISLAMABAD,"Urologist, Sexologist","MBBS, M.S (Urology)",15,88,96,14,11,No Address Available,https://www.marham.pk/online-consultation/urologist/islamabad/dr-muhammad-akram-kumbhar-11269#reviews-scroll,1000
Dr. Syed Muhammad Tariq,MARDAN,Pediatrician,"MBBS, FCPS, MCPS, Diploma in Pediatrics, Fellowship in Pediatrics, Member of College of Physicians and Surgeons Pakistan",21,97,98,14,11,"Syed Children Hospital, Shamsi Road, Mardan",https://www.marham.pk/doctors/mardan/pediatrician/dr-syed-muhammad-tariq#reviews-scroll,600
Dr. Mehak Shaikh,HYDERABAD,Dermatologist,"MBBS, MCPS (Cont.)",4,77,100,15,7,"Shaikh Diagnostic Center, Latifabad, Hyderabad",https://www.marham.pk/doctors/hyderabad/dermatologist/dr-mehak-shaikh#reviews-scroll,800
Dr. Colonel R Muhammad Zubair Khan,ATTOCK,General Physician,MBBS,28,12,92,15,11,"Zubair Clinics, Attock Cantt, Attock",https://www.marham.pk/doctors/attock/general-physician/dr-colonel-r-muhammad-zubair-khan#reviews-scroll,500
Dr. M Badar Ud Din Zafir,MULTAN,Orthopedic Surgeon,"MBBS, FCPS (Orthopedic Surgery), MCPS (Surgery)",19,90,100,14,6,"CGO Clinic, New Shalimar Colony, Multan",https://www.marham.pk/doctors/multan/orthopedic-surgeon/dr-m-badar-ud-din-zafir#reviews-scroll,2000
Assoc. Prof. Dr. Kaya Husnu Akan,ISTANBUL,Orthopedic Surgeon,MD,27,0,94,14,11,"Okan University Hospital, Tuzla Turkey, Istanbul",No Link Available,2000
